id	Sample_01	Sample_02	Sample_03	Sample_04	Sample_05	Sample_06	Sample_07	Sample_08	Sample_09	Sample_10	Sample_11	Sample_12	Sample_13	Sample_14	Sample_15	Sample_16	Sample_17	Sample_18
class	Control	Control	Control	Control	Control	Control	Control	Control	Control	Lungs	Lungs	Lungs	Lungs	Lungs	Lungs	Lungs	Lungs	Lungs
ENSG00000121104			2.807354922	2	2.807354922		2	2.584962501	2.807354922	2.807354922	1		0				2	
ENSG00000121152	5.129283017			4.087462841					4.807354922	0	2		2.321928095			2.321928095		0
ENSG00000121210	6.50779464	3.807354922	5.321928095	3	7.339850003	6.539158811	7.022367813	6.022367813	6.06608919	4.584962501	6.169925001		5.754887502	3.169925001	4.754887502	4.64385619	5.459431619	5.727920455
ENSG00000121211		1							4.087462841	2	1.584962501			2.584962501	1.584962501			
ENSG00000121274	3					0				1.584962501	2.807354922		0	1	1			2.321928095
ENSG00000121281							3.169925001		0		1.584962501						0	0
ENSG00000121289			3.169925001				3.459431619	4.906890596	1	2.584962501	2		1.584962501	2.584962501				1.584962501
ENSG00000121310									2.321928095		3.169925001							
ENSG00000121316					7.055282436	4.523561956	6.189824559		6.22881869	2.584962501	0		4.169925001			1	0	
ENSG00000121318		1							0					1				
ENSG00000121350	4.321928095	1	0		0	1	5.672425342		5		2.321928095		3				3.700439718	3
ENSG00000121390	0	2	0		5.614709844			3.169925001	4.95419631	1	1		1	3	2	3.700439718	3.321928095	3
ENSG00000121406				0							1							
ENSG00000121413	1.584962501	0	3.459431619		2.321928095				3.321928095		1		0					
ENSG00000121417		2		4	2	3		2.584962501	0				0			1	1	
ENSG00000121481	0		3.321928095	4.700439718	5.523561956	0	4.906890596	2.584962501	4.584962501	1	3.807354922		4		3.700439718	2.807354922	2.584962501	2.321928095
ENSG00000121486	2				5.321928095	6.087462841	2.807354922	5.392317423	2	4	3.169925001			5.129283017	2.584962501		2.321928095	4.169925001
ENSG00000121542			3.700439718		3.700439718				4.64385619	2	0		1.584962501	0	1		2	
ENSG00000121552	3	3.459431619	5.044394119	4.169925001	4.392317423	4.392317423			5.321928095	3.169925001	3.584962501	4.392317423	4.807354922		4.087462841	4	3	3.459431619
ENSG00000121570		3.906890596				5.459431619				1	0		4.64385619		2	0	0	0
ENSG00000121577	3.459431619	3.807354922		1	2.807354922	4.169925001		3.584962501	1	0	2		3	2.321928095	2	3.169925001	2	2.321928095
ENSG00000121578									1	0			3.807354922			0	0	2.321928095
ENSG00000121579	5.491853096	4.169925001	5.357552005	4.169925001	3	4.459431619	4.754887502	5.285402219	4.64385619	3.321928095	5.169925001	6.169925001	6.087462841	3.459431619	4.95419631	3.321928095	3.700439718	4.392317423
ENSG00000121621	5.392317423	3				5.129283017	0			1.584962501	0			2	3.459431619	5.285402219		3.321928095
ENSG00000121644					4				2.321928095	1	2		1.584962501	4.321928095	2.321928095	0		1.584962501
ENSG00000121653							0											
ENSG00000121671					3.700439718		0		3							3		
ENSG00000121680	5.491853096		4.392317423	4.169925001	2		4.392317423	3.584962501	6.845490051	1	3	2	3.807354922		2.807354922	3	2.807354922	0
ENSG00000121691	7.409390936	2	6.442943496	5.209453366	8.14974712	8.005624549	7.906890596	6.442943496	7.741466986	6.044394119	6.857980995	7.531381461	7.247927513	4.321928095	4.754887502	5.614709844	4.169925001	5.781359714
ENSG00000121716																		0
ENSG00000121741	2.321928095	6.599912842	3.807354922	6.375039431	5.672425342	6.50779464	5.64385619	5.459431619	5	4.906890596	5.882643049		6.584962501	5.087462841	5.087462841	6	5.392317423	5.95419631
ENSG00000121742							3											
ENSG00000121749	9.139551352	8.73809226	8.842350343	8.071462363	9.727920455	9.744833837	8.791162889	8.700439718	9.847057346	8.787902559	8.936637939	8.888743249	9.355351096	7.491853096	9.008428622	9.513727596	8.741466986	9.573647187
ENSG00000121766	10.10066234	9.515699838	9.902375114	9.511752654	9.601770788	10.41045135	10.09011242	9.843921051	9.837627933	8.233619677	9.30833903	8.761551232	8.991521846	8.076815597	8.857980995	9.142107057	8.13442632	9.189824559
ENSG00000121769										1	0							
ENSG00000121774				3.169925001	4.523561956		1		4.169925001	3.169925001	1.584962501		2		3.169925001		2	1
ENSG00000121775	2	6.965784285	5.129283017	4.700439718	4.459431619	7.499845887	6.741466986	4.392317423	5.977279923	6.599912842	6.820178962		6.321928095	3.906890596	6.022367813	4.906890596	5.087462841	6.686500527
ENSG00000121797	4.392317423	1	3.584962501	2		4.754887502	3.169925001		2.321928095	2.807354922	2		2.807354922		1.584962501	2.321928095	1	2.584962501
ENSG00000121807		2.321928095														1		
ENSG00000121848	7.055282436	7.727920455	6.22881869	6.614709844	7.303780748	7.894817763	8.144658243	8.717676423	8.515699838	6.129283017	7.044394119	8.159871337	7.011227255	6.303780748	6.87036472	7.098032083	6.044394119	7.74819285
ENSG00000121851	5.523561956	6.965784285	5.807354922	6.64385619	8	7.948367232	8.447083226	6.672425342	7.845490051	4.247927513	5.700439718	3.169925001	5.64385619	4.857980995	5.491853096	4.584962501	4.459431619	6.14974712
ENSG00000121858			2.321928095	3.584962501	6.554588852	4.807354922	5.209453366	4.700439718	6.554588852	2.321928095	1.584962501		2.321928095		1.584962501	2.807354922	1.584962501	2.321928095
ENSG00000121864									1				2.584962501	1.584962501	0			1
ENSG00000121879	4.64385619	5.392317423	3.169925001		4.700439718	0	0	4.95419631	5.392317423	3.459431619	3.906890596		4.392317423	2.584962501	4.95419631	6	4.754887502	4.459431619
ENSG00000121892	6.285402219	2.584962501	3.459431619	5.357552005	5.426264755	6.700439718	0	5.727920455	6.357552005	5.357552005	4.857980995	7.95419631	5.700439718	5.169925001	5.285402219	6.06608919	4.321928095	5.64385619
ENSG00000121895	4.247927513			1	2.807354922				4.523561956									0
ENSG00000121897			5.700439718				5.584962501		3.807354922		1.584962501				2.584962501		0	3.169925001
ENSG00000121898			3.459431619	0		3				1	2		1		1.584962501	1.584962501	0	1.584962501
ENSG00000121931			2.807354922	3.321928095	4.169925001	4.169925001			3.807354922	1	2.321928095	3.459431619		2.321928095		2		0
ENSG00000121933						0							2					
ENSG00000121940					3.169925001	6.569855608	5.754887502		5.087462841		3.169925001		1.584962501				0	
ENSG00000121957								2.321928095				0						
ENSG00000121964	7.562242424	7.14974712	6.599912842	6.392317423	7.577428828	7.971543554	8.049848549	6.357552005	7.118941073	5.95419631	6.930737338	5.247927513	6.87036472	5.169925001	6.614709844	7.076815597	6.022367813	6.807354922
