Gene_ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000011422	3.662596958	-1.124404224	1.260288527	-0.892180005	0.372296458	0.641551843
ENSG00000011426	1.192131132	3.494249576	1.703793032	2.050865046	0.040280091	NA
ENSG00000011454	78.9110233	1.205993894	0.533579878	2.260193726	0.02380923	0.125717727
ENSG00000011465	0.217629562	2.117735627	3.037790348	0.697130277	0.485721268	NA
ENSG00000011485	14.5312216	-5.075321033	1.041841172	-4.871492092	1.11E-06	5.54E-05
ENSG00000011523	20.62357554	-0.2579323	0.641616232	-0.402004012	0.687681073	0.858132505
ENSG00000011566	2.964573875	0.163956941	1.61307336	0.101642582	0.919040379	0.967908412
ENSG00000011600	106.0867596	-0.315229766	0.30088393	-1.047678971	0.29478654	0.567940474
ENSG00000011638	75.51614754	0.087858955	0.358194278	0.245282967	0.806237339	0.920692599
ENSG00000012048	15.4719305	-0.346882033	1.377796549	-0.251765787	0.801222103	0.91817256
ENSG00000012061	93.98209822	-0.31787262	0.372018932	-0.854452805	0.392854149	0.659947204
ENSG00000012124	18.35964385	-0.80916111	0.767826182	-1.053833705	0.291959059	0.565683118
ENSG00000012174	0.72648014	-2.027635397	2.987515782	-0.678702823	0.497326177	NA
ENSG00000012223	11.85600005	2.321431101	1.508029873	1.53938005	0.123711542	0.351676794
ENSG00000012660	20.89218605	0.354724528	0.484911012	0.731524999	0.464458541	0.716139492
ENSG00000012779	17.68568274	-0.849836725	0.98463966	-0.863094144	0.388085707	0.65585833
ENSG00000012817	5.204627006	2.718609193	1.672898903	1.625088754	0.104143649	0.316259944
ENSG00000012822	232.3119563	0.256076895	0.281044257	0.911162171	0.362209933	0.633147252
ENSG00000012963	4.164722351	-1.54143785	1.132727222	-1.360819992	0.173570582	0.427439379
ENSG00000012983	330.770055	-0.106753088	0.248343446	-0.429860703	0.667296972	0.846975423
ENSG00000013016	95.295177	0.458771704	0.247079758	1.856775752	0.063343065	0.233704811
ENSG00000013275	149.4087951	-1.389654282	0.477073343	-2.912873465	0.003581197	0.032806515
ENSG00000013288	1.013659441	-1.755501948	1.856277354	-0.945711019	0.344296001	NA
ENSG00000013306	136.9082369	-1.55030796	0.543061751	-2.85475447	0.004307011	0.037484651
ENSG00000013364	20.77519185	-1.193738727	0.701925865	-1.700662116	0.089006453	0.287076704
ENSG00000013374	36.40825167	-0.328207436	0.733385441	-0.447523795	0.654496911	0.83755442
ENSG00000013375	3.594890893	-1.22393164	1.363310172	-0.897764621	0.36931105	0.639029433
ENSG00000013392	0.415173348	-1.778115283	2.998591176	-0.592983564	0.553192152	NA
ENSG00000013441	59.48275974	-0.862456948	0.541250941	-1.593451177	0.111059013	0.329144473
ENSG00000013503	0.516568098	-0.913275643	3.004252137	-0.303994339	0.761132204	NA
ENSG00000013523	0.844250788	0.866442031	2.257193651	0.383858084	0.701083634	NA
ENSG00000013561	43.06867032	1.392206772	0.577058678	2.412591344	0.015839568	0.095928039
ENSG00000013563	6.448481454	-0.379186949	0.884275717	-0.428810767	0.668060943	0.847351552
ENSG00000013573	1.142161489	0.095705614	2.236429391	0.042793935	0.965865799	NA
ENSG00000013583	25.92802945	-1.227079446	0.584400071	-2.099725011	0.035753038	0.164427678
ENSG00000013725	3.633675941	0.613540229	1.249072842	0.491196517	0.623287462	0.818878249
ENSG00000013810	159.7036603	0.186823371	0.197216003	0.947303303	0.343484248	0.616833022
ENSG00000014123	21.06657249	-1.692304165	0.98898155	-1.71115848	0.087051861	0.282788788
ENSG00000014138	6.472241312	-1.732751371	1.722125586	-1.006170157	0.314333725	0.587656533
ENSG00000014164	3.665231567	-1.490922842	0.81723424	-1.824351903	0.068098888	0.244141066
ENSG00000014216	1341.213819	-0.545338403	0.250190319	-2.179694261	0.029280132	0.143471065
ENSG00000014641	89.38329203	-1.63810437	0.53573006	-3.057704792	0.002230392	0.023073272
ENSG00000014824	31.79671923	0.599353193	0.839894409	0.713605409	0.475471212	0.72399482
ENSG00000014914	1.307848639	2.747173701	1.83637732	1.495974532	0.134660292	0.369032742
ENSG00000014919	6.428676939	0.328457303	1.241072666	0.26465598	0.791274491	0.912538364
ENSG00000015133	20.49973043	1.182350563	0.636597884	1.85729578	0.063269084	0.233704811
ENSG00000015153	42.98686818	1.022493593	0.337942847	3.025640589	0.00248107	0.025146893
ENSG00000015171	28.35578483	-0.450330837	0.773527568	-0.582178135	0.5604467	0.782259605
ENSG00000015285	10.6732247	-0.231319482	0.575640089	-0.401847415	0.687796324	0.858132505
ENSG00000015475	96.65898588	-0.72254722	0.220058586	-3.283431172	0.001025517	0.01310463
ENSG00000015479	387.7702488	0.685364504	0.195537314	3.505031803	0.000456553	0.007244077
ENSG00000015532	12.49746262	-0.255553431	0.642297841	-0.397873719	0.690723273	0.859993057
ENSG00000015676	1.884735065	0.665741207	1.083114922	0.614654265	0.538783069	0.765465674
ENSG00000016391	0.257557172	-1.144315721	3.015887832	-0.379429138	0.704369216	NA
ENSG00000016490	1.402296476	-1.353240454	1.796606349	-0.753220345	0.451317516	0.707376613
ENSG00000016864	6.460491417	-0.771390347	1.329300039	-0.580298145	0.561713578	0.783159376
ENSG00000017260	190.0645925	1.581728136	0.493023903	3.208217952	0.001335602	0.015735446
ENSG00000017483	11.52624146	0.450470878	1.142447236	0.394303443	0.693357022	0.861701264
ENSG00000017621	8.446747522	-1.055332047	0.741608066	-1.423032051	0.154726864	0.401669166
ENSG00000017797	34.27078825	-0.236367859	0.409083511	-0.577798549	0.563400135	0.784448321
ENSG00000018189	1.367219824	-0.101849739	1.730110018	-0.058868938	0.953056499	0.982331725
ENSG00000018280	11.14513744	-1.343075313	1.155660636	-1.162171031	0.245165999	0.515652731
ENSG00000018510	2.687098536	1.206711956	1.275806817	0.945842224	0.344229066	0.617322909
ENSG00000018610	6.415723349	-2.822808847	1.548375881	-1.823077253	0.068291691	0.244141066
ENSG00000018699	14.30500265	0.811071934	0.669248017	1.211915334	0.225544792	0.493464336
ENSG00000018869	2.640019271	0.554097818	1.189631692	0.465772577	0.641378296	0.830126767
ENSG00000019102	1.281416655	0.216267532	1.045378333	0.206879677	0.836103828	0.933209628
ENSG00000019169	1.42882377	4.485966573	1.604171001	2.796439138	0.005166914	0.043025958
ENSG00000019582	1482.12146	-1.726858017	0.451655854	-3.823393415	0.000131628	0.002799402
ENSG00000019991	0.406408483	2.738605306	3.021924259	0.906245515	0.364805917	NA
ENSG00000019995	4.361199796	3.713974217	1.288621089	2.882130556	0.00394996	0.035154801
ENSG00000020129	0.37744667	-0.851365356	3.015074962	-0.282369549	0.777660162	NA
ENSG00000020256	0.392649694	1.252227459	2.125593243	0.589119044	0.555781419	NA
ENSG00000020426	22.04863422	0.342689201	0.5151956	0.665163292	0.505946056	0.743290298
ENSG00000020577	5.788956426	1.208845113	0.734050747	1.64681409	0.099596264	0.309657568
ENSG00000020633	1.004751581	-0.481246494	1.975008534	-0.243668058	0.807487914	NA
ENSG00000020922	25.84745162	-0.284814405	0.86700426	-0.328504043	0.742530588	0.887393104
ENSG00000021300	2.665128919	0.639520719	1.537919537	0.415834966	0.67753077	0.853334147
ENSG00000021355	1141.03589	-0.039237262	0.164844673	-0.238025659	0.811861193	0.923820951
ENSG00000021574	9.547220771	0.576476136	0.962476714	0.598950736	0.549205736	0.772880393
ENSG00000021762	1.25702239	-3.015915346	2.038174836	-1.479713758	0.138949652	0.375786224
ENSG00000021776	11.68938951	0.401783186	1.099738858	0.365344175	0.714854507	0.875332049
ENSG00000022267	283.6034436	0.709742219	0.305801062	2.32092791	0.020290735	0.11387256
ENSG00000022277	203.1007869	0.14797502	0.312936056	0.472860245	0.636312889	0.827859492
ENSG00000022556	0.236835981	-1.033617661	3.019297306	-0.342337159	0.732097175	NA
ENSG00000022567	0.343027637	-0.366455733	3.020134236	-0.121337565	0.903423667	NA
ENSG00000022840	167.2122926	1.321417006	0.341966868	3.864166765	0.000111469	0.002457201
ENSG00000022976	0.437575342	-0.595493016	2.420596389	-0.246010867	0.80567382	NA
ENSG00000023041	3.421615287	0.141866209	1.323689248	0.107174859	0.91465026	0.967172194
ENSG00000023191	317.8801471	0.107594228	0.30885401	0.348365974	0.727565353	0.879991566
ENSG00000023228	29.2995395	-0.022242253	0.605720604	-0.036720318	0.970708008	0.988047922
ENSG00000023287	22.09169524	0.741256798	0.793633125	0.934004359	0.350301644	0.623121756
ENSG00000023318	66.63835903	-0.827174263	0.807365222	-1.024535415	0.305582452	0.579806705
ENSG00000023330	14.62861824	-1.263261205	1.182782669	-1.068041693	0.285501705	0.558899814
ENSG00000023445	9.867280971	-2.601733121	0.797945884	-3.260538305	0.001112009	0.013839019
ENSG00000023516	2.841216037	1.299125296	1.735916315	0.748380141	0.454230898	0.709340228
ENSG00000023572	1.842701032	-2.098677265	1.851536829	-1.133478542	0.257013347	0.527894112
ENSG00000023608	3.767387781	-0.720722695	1.364399421	-0.528234389	0.597336664	0.801891379
ENSG00000023697	626.9938362	0.5217707	0.229719314	2.271340148	0.023126395	0.12339525
ENSG00000023734	494.7537863	0.165562124	0.256267601	0.646051719	0.518245862	0.750972558
ENSG00000023839	0.659618196	0.856477774	2.707492832	0.316336119	0.751747399	NA
ENSG00000023892	7.982509813	-3.134572867	1.155897534	-2.711808594	0.006691722	0.0517737
ENSG00000023902	294.7316922	0.146620496	0.221544666	0.661810092	0.508092937	0.744898526
ENSG00000023909	21.50105537	2.224832965	0.638297238	3.485575108	0.00049108	0.00763154
ENSG00000024048	32.30586063	0.43762903	0.617020434	0.709261811	0.478162023	0.726546125
ENSG00000024422	8.502890623	-1.750178981	0.746517789	-2.344457167	0.019054799	0.108987676
ENSG00000024526	2.415137122	-3.964765669	1.717978431	-2.307808757	0.021009776	0.116563728
